Maquina,Rodada,Date,Time,Origem_Arquivo,Relógios núcleo (avg) [MHz],Relógios efetivos núcleo (avg) [MHz],Uso total da CPU [%],Carga do núcleo da GPU [%],CPU Inteira [°C],CPU Inteira [°C].1,Núcleo máximo [°C],Estrangulamento térmico do núcleo (avg) [Yes/Não],Distância do núcleo para TjMAX (avg) [°C],Potência total da CPU [W],IA: Package-Level RAPL/PBM PL1 [Yes/Não],IA: Package-Level RAPL/PBM PL2 PL3 [Yes/Não],Limite de desempenho - Térmico [Yes/Não],Relógio da memória [MHz],Taxa de leituras [MB/s],Taxa de gravações [MB/s],Potência das linhas GPU (avg) [W],GPU Clock [MHz].1,GPU Clock [MHz],Limite térmico da GPU [°C]
Máquina B,6,17.6.2026,16:36:58.105,maqB_rodada_06.csv,2364.2,364.5,10.8,0.0,66,65,65,Não,40,9.61,Não,Não,,1330.1,0.0,0.001,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:0.094,maqB_rodada_06.csv,2573.7,411.0,12.5,0.0,65,65,66,Não,41,10.46,Não,Não,,1330.1,0.118,0.175,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:2.094,maqB_rodada_06.csv,1386.6,62.1,4.6,0.0,55,56,55,Não,46,2.815,Não,Não,,1330.1,0.016,0.211,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:4.094,maqB_rodada_06.csv,1336.7,68.3,4.2,0.0,54,54,54,Não,48,3.626,Não,Não,,1330.1,0.0,0.002,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:6.095,maqB_rodada_06.csv,2254.5,170.7,7.0,0.0,59,60,59,Não,44,5.369,Não,Não,,1330.1,3.858,0.035,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:8.100,maqB_rodada_06.csv,1785.6,146.0,6.9,0.0,53,54,53,Não,48,4.51,Não,Não,,1330.1,0.0,0.025,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:10.096,maqB_rodada_06.csv,1905.3,88.4,5.6,0.0,53,54,53,Não,48,3.689,Não,Não,,1330.1,0.0,0.043,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:12.087,maqB_rodada_06.csv,2184.7,160.8,7.9,0.0,58,59,59,Não,44,4.807,Não,Não,,1330.1,3.137,0.034,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:14.097,maqB_rodada_06.csv,2543.8,481.9,17.5,0.0,61,67,62,Não,42,11.144,Não,Não,,1330.1,0.204,0.116,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:16.102,maqB_rodada_06.csv,2045.0,378.1,10.6,0.0,55,56,56,Não,45,10.911,Não,Não,,1330.1,0.0,0.0,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:18.108,maqB_rodada_06.csv,1596.1,50.3,4.1,0.0,53,53,52,Não,49,2.556,Não,Não,,1330.1,0.0,0.007,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:20.112,maqB_rodada_06.csv,1516.3,46.3,3.3,0.0,53,52,52,Não,50,2.334,Não,Não,,1330.1,0.035,0.005,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:22.115,maqB_rodada_06.csv,2464.0,178.1,7.0,0.0,53,64,53,Não,48,5.472,Não,Não,,1330.1,19.516,0.068,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:24.131,maqB_rodada_06.csv,2593.7,346.2,10.1,0.0,69,70,69,Não,42,10.282,Não,Não,,1330.1,0.008,0.06,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:26.150,maqB_rodada_06.csv,1636.0,348.2,9.9,0.0,53,53,52,Não,49,11.718,Não,Não,,1330.1,0.0,0.024,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:28.141,maqB_rodada_06.csv,1586.1,80.5,6.3,0.0,52,53,52,Não,49,3.103,Não,Não,,1330.1,0.0,0.006,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:30.143,maqB_rodada_06.csv,1536.2,38.5,3.2,0.0,51,51,50,Não,51,3.029,Não,Não,,1330.1,0.0,0.001,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:32.140,maqB_rodada_06.csv,2234.5,167.5,7.0,0.0,58,56,58,Não,46,5.78,Não,Não,,1330.1,8.437,0.005,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:37:34.142,maqB_rodada_06.csv,2104.9,362.1,10.6,0.0,70,69,69,Não,44,10.243,Não,Não,,1330.1,0.006,0.002,0.0,0.0,300.0,0.0
