Maquina,Rodada,Média - CPU Inteira [°C],Desvio Padrão - CPU Inteira [°C],Mediana - CPU Inteira [°C],Média - CPU Inteira [°C].1,Desvio Padrão - CPU Inteira [°C].1,Mediana - CPU Inteira [°C].1,Média - Núcleo máximo [°C],Desvio Padrão - Núcleo máximo [°C],Mediana - Núcleo máximo [°C],Média - Distância do núcleo para TjMAX (avg) [°C],Desvio Padrão - Distância do núcleo para TjMAX (avg) [°C],Mediana - Distância do núcleo para TjMAX (avg) [°C],Média - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa,Desvio Padrão - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa,Mediana - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa
Máquina B,1,61.048780487804876,9.906799060400234,59.0,61.28292682926829,9.383859276496553,59.0,60.64878048780488,10.372643175520702,58.0,42.97560975609756,8.689321271577466,44.0,0.0,0.0,0.0
Máquina B,2,59.00581395348837,8.790942370113571,58.0,58.94767441860465,8.984238658208376,57.5,58.66860465116279,9.270499795732068,56.5,45.372093023255815,7.884467685351655,46.5,0.0,0.0,0.0
Máquina B,3,56.232044198895025,7.218130776672499,55.0,56.889502762430936,6.891939758897356,56.0,55.86187845303867,7.691101265360715,55.0,47.027624309392266,7.161184677929056,49.0,0.0,0.0,0.0
Máquina B,4,62.095238095238095,9.883293891540614,60.0,62.30952380952381,9.837574539782509,60.0,61.357142857142854,10.633967558693689,59.0,42.875,8.951758600181758,45.0,0.0,0.0,0.0
Máquina B,5,62.61176470588235,9.544779691150188,60.0,62.88823529411765,9.777064233862149,60.0,61.84117647058824,10.333696178726946,59.0,41.705882352941174,8.866296171272888,44.0,0.0,0.0,0.0
Máquina B,6,61.13529411764706,9.0716700038386,59.0,61.747058823529414,9.530431958213063,59.0,60.758823529411764,9.618495424390911,58.0,43.0,7.804565497422031,45.0,0.0,0.0,0.0
Máquina B,7,59.264367816091955,9.640305286359885,57.0,59.05172413793103,9.022942653036871,57.0,58.45977011494253,10.118722528639044,55.5,45.293103448275865,8.35348105907145,47.0,0.0,0.0,0.0
Máquina B,8,59.12290502793296,8.736239931607592,58.0,59.497206703910614,8.928161669982687,58.0,58.625698324022345,9.176766519377997,56.0,44.87709497206704,7.729011481405223,46.0,0.0,0.0,0.0
Máquina B,9,59.712765957446805,8.84098663696449,57.0,59.265957446808514,8.491172556123137,57.0,58.82446808510638,9.07638631205212,56.0,45.079787234042556,7.383969915918838,46.5,0.0,0.0,0.0
Máquina B,10,57.56804733727811,8.44148890035927,56.0,57.455621301775146,8.4620712452978,56.0,57.18934911242604,8.841171554425125,55.0,47.005917159763314,7.337523457754434,49.0,0.0,0.0,0.0
Máquina B,11,61.33529411764706,9.210840100488657,59.0,61.71176470588235,9.62334331261004,59.0,60.89411764705882,9.865993868620793,58.5,43.082352941176474,8.13380958322937,45.0,0.0,0.0,0.0
Máquina B,12,59.707602339181285,9.500272478123076,58.0,59.812865497076025,9.685043562083226,58.0,59.46783625730994,10.118292433077126,57.0,44.64912280701754,8.671436331400672,46.0,0.0,0.0,0.0
Máquina B,13,59.53529411764706,10.05260961005423,58.0,59.78235294117647,10.135457433657766,58.0,59.1,10.296003705695348,57.0,45.34705882352941,8.350503485303012,47.0,0.0,0.0,0.0
Máquina B,14,60.07692307692308,9.777890511615627,58.0,60.053254437869825,9.530190346266249,58.0,59.52662721893491,10.19282257321379,57.0,44.710059171597635,8.247940904440602,46.0,0.0,0.0,0.0
Máquina B,15,57.25698324022346,7.441222402806681,55.0,57.486033519553075,6.815677187701902,56.0,56.94972067039106,8.085410458417508,55.0,46.072625698324025,7.215018615968648,48.0,0.0,0.0,0.0
Máquina B,16,60.09580838323353,9.834310195601052,58.0,60.287425149700596,9.425102215039479,59.0,59.796407185628745,10.322241118706687,57.0,44.33532934131737,8.639786628921492,46.0,0.0,0.0,0.0
Máquina B,17,60.30409356725146,9.082040174562657,58.0,59.9766081871345,9.076766213719552,57.0,59.87719298245614,9.438476027482528,56.0,44.380116959064324,7.811865935741909,46.0,0.0,0.0,0.0
Máquina B,18,60.808383233532936,10.131029593448611,58.0,60.4251497005988,9.752606809765707,58.0,60.047904191616766,10.499459758467632,56.0,44.449101796407184,8.84515978363358,46.0,0.0,0.0,0.0
Máquina B,19,58.69461077844311,9.092372398971015,57.0,58.31736526946108,8.859743680074379,56.0,58.31736526946108,9.425733693828782,56.0,45.41317365269461,7.9858651551908935,47.0,0.0,0.0,0.0
Máquina B,20,58.89349112426036,8.502129579250202,57.0,59.04733727810651,8.73199552472971,57.0,58.70414201183432,8.985837766211063,56.0,45.43195266272189,6.866701682594475,47.0,0.0,0.0,0.0
