Maquina,Rodada,Média - Potência das linhas GPU (avg) [W],Desvio Padrão - Potência das linhas GPU (avg) [W],Mediana - Potência das linhas GPU (avg) [W],Média - GPU Clock [MHz],Desvio Padrão - GPU Clock [MHz],Mediana - GPU Clock [MHz],Média - GPU Clock [MHz].1,Desvio Padrão - GPU Clock [MHz].1,Mediana - GPU Clock [MHz].1,Média - Limite térmico da GPU [°C],Desvio Padrão - Limite térmico da GPU [°C],Mediana - Limite térmico da GPU [°C]
Máquina B,4,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,5,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,6,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,7,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,8,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,9,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,10,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,11,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,12,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,13,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,14,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,15,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,16,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,17,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,18,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,19,0.0,0.0,0.0,305.688622754491,15.9244845168663,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,20,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
