Maquina,Rodada,Média - CPU Inteira [°C],Desvio Padrão - CPU Inteira [°C],Mediana - CPU Inteira [°C],Média - CPU Inteira [°C].1,Desvio Padrão - CPU Inteira [°C].1,Mediana - CPU Inteira [°C].1,Média - Núcleo máximo [°C],Desvio Padrão - Núcleo máximo [°C],Mediana - Núcleo máximo [°C],Média - Distância do núcleo para TjMAX (avg) [°C],Desvio Padrão - Distância do núcleo para TjMAX (avg) [°C],Mediana - Distância do núcleo para TjMAX (avg) [°C],Média - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa,Desvio Padrão - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa,Mediana - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa
Máquina A,11,54.63843648208469,,54.63843648208469,55.63192182410423,,55.63192182410423,53.78175895765472,,53.78175895765472,52.37459283387622,,52.37459283387622,0.0,,0.0
Máquina A,12,55.775577557755774,,55.775577557755774,56.45874587458746,,56.45874587458746,54.97029702970297,,54.97029702970297,51.66996699669967,,51.66996699669967,0.0,,0.0
Máquina A,13,55.36842105263158,,55.36842105263158,55.758513931888544,,55.758513931888544,55.07120743034056,,55.07120743034056,51.526315789473685,,51.526315789473685,0.0,,0.0
Máquina A,14,56.531772575250834,,56.531772575250834,56.69230769230769,,56.69230769230769,56.187290969899664,,56.187290969899664,51.11371237458194,,51.11371237458194,0.0,,0.0
Máquina A,15,57.41925465838509,,57.41925465838509,58.27329192546584,,58.27329192546584,56.97204968944099,,56.97204968944099,49.515527950310556,,49.515527950310556,0.0,,0.0
Máquina A,16,57.241610738255034,,57.241610738255034,57.43288590604027,,57.43288590604027,56.785234899328856,,56.785234899328856,50.52348993288591,,50.52348993288591,0.0,,0.0
Máquina A,17,56.36333333333334,,56.36333333333334,56.28333333333333,,56.28333333333333,55.67333333333333,,55.67333333333333,51.486666666666665,,51.486666666666665,0.0,,0.0
Máquina A,18,57.4655737704918,,57.4655737704918,57.075409836065575,,57.075409836065575,56.82622950819672,,56.82622950819672,49.885245901639344,,49.885245901639344,0.0,,0.0
Máquina A,19,55.83552631578947,,55.83552631578947,56.49671052631579,,56.49671052631579,55.401315789473685,,55.401315789473685,51.3453947368421,,51.3453947368421,0.0,,0.0
Máquina A,20,55.53198653198653,,55.53198653198653,55.474747474747474,,55.474747474747474,54.956228956228955,,54.956228956228955,51.51851851851852,,51.51851851851852,0.0,,0.0
Máquina B,1,61.048780487804876,,61.048780487804876,61.28292682926829,,61.28292682926829,60.64878048780488,,60.64878048780488,42.97560975609756,,42.97560975609756,0.0,,0.0
Máquina B,2,59.00581395348837,,59.00581395348837,58.94767441860465,,58.94767441860465,58.66860465116279,,58.66860465116279,45.372093023255815,,45.372093023255815,0.0,,0.0
Máquina B,3,56.232044198895025,,56.232044198895025,56.889502762430936,,56.889502762430936,55.86187845303867,,55.86187845303867,47.027624309392266,,47.027624309392266,0.0,,0.0
Máquina B,4,62.095238095238095,,62.095238095238095,62.30952380952381,,62.30952380952381,61.357142857142854,,61.357142857142854,42.875,,42.875,0.0,,0.0
Máquina B,5,62.61176470588235,,62.61176470588235,62.88823529411765,,62.88823529411765,61.84117647058824,,61.84117647058824,41.705882352941174,,41.705882352941174,0.0,,0.0
Máquina B,6,61.13529411764706,,61.13529411764706,61.747058823529414,,61.747058823529414,60.758823529411764,,60.758823529411764,43.0,,43.0,0.0,,0.0
Máquina B,7,59.264367816091955,,59.264367816091955,59.05172413793103,,59.05172413793103,58.45977011494253,,58.45977011494253,45.293103448275865,,45.293103448275865,0.0,,0.0
Máquina B,8,59.12290502793296,,59.12290502793296,59.497206703910614,,59.497206703910614,58.625698324022345,,58.625698324022345,44.87709497206704,,44.87709497206704,0.0,,0.0
Máquina B,9,59.712765957446805,,59.712765957446805,59.265957446808514,,59.265957446808514,58.82446808510638,,58.82446808510638,45.079787234042556,,45.079787234042556,0.0,,0.0
Máquina B,10,57.56804733727811,,57.56804733727811,57.455621301775146,,57.455621301775146,57.18934911242604,,57.18934911242604,47.005917159763314,,47.005917159763314,0.0,,0.0
Máquina B,11,61.33529411764706,,61.33529411764706,61.71176470588235,,61.71176470588235,60.89411764705882,,60.89411764705882,43.082352941176474,,43.082352941176474,0.0,,0.0
Máquina B,12,59.707602339181285,,59.707602339181285,59.812865497076025,,59.812865497076025,59.46783625730994,,59.46783625730994,44.64912280701754,,44.64912280701754,0.0,,0.0
Máquina B,13,59.53529411764706,,59.53529411764706,59.78235294117647,,59.78235294117647,59.1,,59.1,45.34705882352941,,45.34705882352941,0.0,,0.0
Máquina B,14,60.07692307692308,,60.07692307692308,60.053254437869825,,60.053254437869825,59.52662721893491,,59.52662721893491,44.710059171597635,,44.710059171597635,0.0,,0.0
Máquina B,15,57.25698324022346,,57.25698324022346,57.486033519553075,,57.486033519553075,56.94972067039106,,56.94972067039106,46.072625698324025,,46.072625698324025,0.0,,0.0
Máquina B,16,60.09580838323353,,60.09580838323353,60.287425149700596,,60.287425149700596,59.796407185628745,,59.796407185628745,44.33532934131737,,44.33532934131737,0.0,,0.0
Máquina B,17,60.30409356725146,,60.30409356725146,59.9766081871345,,59.9766081871345,59.87719298245614,,59.87719298245614,44.380116959064324,,44.380116959064324,0.0,,0.0
Máquina B,18,60.808383233532936,,60.808383233532936,60.4251497005988,,60.4251497005988,60.047904191616766,,60.047904191616766,44.449101796407184,,44.449101796407184,0.0,,0.0
Máquina B,19,58.69461077844311,,58.69461077844311,58.31736526946108,,58.31736526946108,58.31736526946108,,58.31736526946108,45.41317365269461,,45.41317365269461,0.0,,0.0
Máquina B,20,58.89349112426036,,58.89349112426036,59.04733727810651,,59.04733727810651,58.70414201183432,,58.70414201183432,45.43195266272189,,45.43195266272189,0.0,,0.0
Máquina F,1,41.1003861003861,,41.1003861003861,40.424710424710426,,40.424710424710426,41.795366795366796,,41.795366795366796,64.73745173745174,,64.73745173745174,0.0,,0.0
Máquina F,2,40.42585551330799,,40.42585551330799,40.0722433460076,,40.0722433460076,40.90114068441065,,40.90114068441065,65.56653992395437,,65.56653992395437,0.0,,0.0
Máquina F,3,39.85606060606061,,39.85606060606061,39.91287878787879,,39.91287878787879,40.428030303030305,,40.428030303030305,65.52651515151516,,65.52651515151516,0.0,,0.0
Máquina F,4,39.003246753246756,,39.003246753246756,38.866883116883116,,38.866883116883116,39.58116883116883,,39.58116883116883,65.87337662337663,,65.87337662337663,0.0,,0.0
Máquina F,5,40.241379310344826,,40.241379310344826,39.509578544061306,,39.509578544061306,40.628352490421456,,40.628352490421456,65.45977011494253,,65.45977011494253,0.0,,0.0
Máquina F,6,48.05211726384365,,48.05211726384365,47.76547231270359,,47.76547231270359,48.50814332247557,,48.50814332247557,58.79804560260586,,58.79804560260586,0.0,,0.0
Máquina F,7,44.95075757575758,,44.95075757575758,44.946969696969695,,44.946969696969695,45.25,,45.25,60.803030303030305,,60.803030303030305,0.0,,0.0
Máquina F,8,45.13059701492537,,45.13059701492537,44.47014925373134,,44.47014925373134,45.25373134328358,,45.25373134328358,60.58955223880597,,60.58955223880597,0.0,,0.0
Máquina F,9,45.406716417910445,,45.406716417910445,46.156716417910445,,46.156716417910445,45.72014925373134,,45.72014925373134,60.298507462686565,,60.298507462686565,0.0,,0.0
Máquina F,10,44.80152671755725,,44.80152671755725,45.13740458015267,,45.13740458015267,45.30152671755725,,45.30152671755725,60.36641221374046,,60.36641221374046,0.0,,0.0
Máquina F,11,45.11832061068702,,45.11832061068702,45.25954198473283,,45.25954198473283,45.75190839694657,,45.75190839694657,60.732824427480914,,60.732824427480914,0.0,,0.0
Máquina F,12,44.081570996978854,,44.081570996978854,43.99093655589124,,43.99093655589124,44.54380664652568,,44.54380664652568,61.151057401812686,,61.151057401812686,0.0,,0.0
Máquina F,13,44.551094890510946,,44.551094890510946,44.237226277372265,,44.237226277372265,44.73357664233577,,44.73357664233577,61.065693430656935,,61.065693430656935,0.0,,0.0
Máquina F,14,46.86372745490982,,46.86372745490982,47.0060120240481,,47.0060120240481,47.0060120240481,,47.0060120240481,60.430861723446895,,60.430861723446895,0.0,,0.0
Máquina F,15,44.661818181818184,,44.661818181818184,44.95636363636363,,44.95636363636363,45.276363636363634,,45.276363636363634,60.88,,60.88,0.0,,0.0
Máquina F,16,42.986486486486484,,42.986486486486484,43.167567567567566,,43.167567567567566,43.475675675675674,,43.475675675675674,61.44054054054054,,61.44054054054054,0.0,,0.0
Máquina F,17,44.06,,44.06,43.99333333333333,,43.99333333333333,44.223333333333336,,44.223333333333336,61.123333333333335,,61.123333333333335,0.0,,0.0
Máquina F,18,45.12887828162291,,45.12887828162291,44.29116945107398,,44.29116945107398,45.720763723150355,,45.720763723150355,61.062052505966584,,61.062052505966584,0.0,,0.0
Máquina F,19,45.4377358490566,,45.4377358490566,44.758490566037736,,44.758490566037736,45.46415094339623,,45.46415094339623,60.40377358490566,,60.40377358490566,0.0,,0.0
Máquina F,20,45.528358208955225,,45.528358208955225,44.973134328358206,,44.973134328358206,45.88059701492537,,45.88059701492537,60.50149253731343,,60.50149253731343,0.0,,0.0
