Maquina,Rodada,Média - Relógio da memória [MHz],Desvio Padrão - Relógio da memória [MHz],Mediana - Relógio da memória [MHz],Média - Taxa de leituras [MB/s],Desvio Padrão - Taxa de leituras [MB/s],Mediana - Taxa de leituras [MB/s],Média - Taxa de gravações [MB/s],Desvio Padrão - Taxa de gravações [MB/s],Mediana - Taxa de gravações [MB/s]
Máquina B,9,1330.1031914893617,0.0308597921590721,1330.1,0.015861702127659576,0.06368960510284852,0.0,0.11861702127659575,0.2636956034133465,0.0415
Máquina B,10,1330.101775147929,0.023076923076896072,1330.1,0.006071005917159763,0.02611389293727097,0.0,0.06932544378698224,0.18829487229368075,0.022
Máquina B,11,1330.1,0.0,1330.1,2.298194117647059,6.591409852060105,0.0485,0.7423117647058823,2.3701735617626247,0.125
Máquina B,12,1330.1017543859648,0.022941573387035,1330.1,0.7429005847953216,3.6080592463750634,0.008,0.8787543859649123,2.5240517050779925,0.065
Máquina B,13,1330.1035294117646,0.032443154924078295,1330.1,0.3191529411764706,2.323025969924564,0.0,0.0857,0.24580368965122115,0.0335
Máquina B,14,1330.1011834319524,0.04497110935085664,1330.1,0.24501775147928995,1.1513606519564086,0.0,0.19891124260355028,0.5233338508602181,0.033
Máquina B,15,1330.1016759776535,0.022423052782571222,1330.1,1.6235698324022345,4.9198720385508,0.01,0.2516256983240223,0.6454896056647847,0.055
Máquina B,16,1330.1053892215568,0.03996607752840998,1330.1,0.07587425149700598,0.8042966183921931,0.0,0.10404191616766467,0.32423040211266047,0.03
Máquina B,17,1330.1035087719297,0.032348719116592685,1330.1,0.014087719298245613,0.061794901950895126,0.0,0.08509941520467836,0.190366848787553,0.037
Máquina B,18,1330.1017964071855,0.023214696975998147,1330.1,0.019179640718562874,0.08132808058374673,0.0,0.15347305389221555,0.4585657816243622,0.04
Máquina B,19,1330.1071856287424,0.04600793838710431,1330.1,0.00692814371257485,0.04321180239020987,0.0,0.06634730538922155,0.22659735342683224,0.016
Máquina B,20,1330.110650887574,0.05567916182663497,1330.1,0.012059171597633134,0.053188982942452674,0.0,0.08962721893491124,0.2700563600214832,0.038
