P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],GPU Core (NVVDD) Saida de Energia [W].1,E-core 7 C1 Ocupação [%],Potência das linhas GPU (avg) [W],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],GPU Core (NVVDD) Entrada de energia (sum) [W],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],SPD Hub Temperatura [°C],P-core 1 T0 C0 Ocupação [%],Uso de memória GPU [%],Leia total [MB],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Gravar total [MB],Temperatura do disco [°C],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],Memória GPU alocada [MB],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],P-core 1 Relógio [MHz],Temperatura de ponto quente da GPU [°C],P-core 0 Distância para TjMAX [°C],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],Utilização do arquivo de paginação [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],GPU Potência [W],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],GPU PCIe +3 3V Entrada de energia (est) [W],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],Memória GPU disponível [MB],Temperatura de junção da memória GPU [°C],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Taxa de carga [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Page File Used [MB],Potência total do sistema [W],GPU Core Voltage [V],GPU 12VHPWR Potência [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],Utilização de D3D GPU [%].1,E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],Relógio de vídeo GPU [MHz],GPU Crossbar Relógio [MHz],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Total download [MB],Potência do restante do chip [W],GPU FBVDD Tensão de entrada [V],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],GPU Clock [MHz].1,P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Fonte PP de entrada GPU Potência (sum) [W],GPU D3D Uso (avg) [%],Uso total da GPU [%],Temperatura do disco 2 [°C],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],GPU FBVDD Voltagemm de saída [V],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Voltagem da bateria [V],Uncore Relação [x],PCI Express Error Counters (avg) [],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],GPU 12VHPWR Voltagem [V],Total upload [MB],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],GPU Core (NVVDD) Saida de Energia [W],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Velocidade do link PCIe [GT/s],GPU FBVDD Saida de Energia [W],Package C8 Ocupação [%],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Recovery Count [],Uncore VID [V],E-core 7 Relógio [MHz],Relógio de memória GPU [MHz].1,GPU FBVDD Entrada de energia [W],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],Temperatura GPU [°C],Memória dedicada D3D GPU [MB],Limite térmico da GPU [°C],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],Memória dinâmica D3D GPU [MB].1,E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
43,0.1,42.0,5967,21:19:20.361,3.2,0.0,0.0,4.236,1097.3,3.9,51.2,42,0.001,0.5,56,0.1,0.0,0.7,1035.0,15.6,43.8,5.2,0.0,12102,49.3,44,56,44,15.2,45,0.0,2624,44,3.261,102.8,0,2.1,12077,18.7,45,0.0,65.0,0.0,95.4,897.8,0.0,55,0.656,0.7,41.5,0.8,56,0.1,0.097,8.5,0.0,0.3,7.9,18.7,1928,2.9,44,1.0,8618,41.6,3.4,45,11.0,0.0,49.7,0.0,0.0,10.0,57,0.0,6.2,0.1,10.0,0.3,0.0,0.2,0.6,0,0.0,0.0,44,0.3,1.936,0.985,0.0,49.5,1097.3,0.1,44,0.0,99.0,436,1.25,0.0,0.0,58,56,99.9,11.0,18.7,94.8,0.1,1.0,0.688,186.5,49,1.2,0.0,0.0,2.6,897.8,16.1,30.6,8.6,2.9,45,48,0.0,0.6,4.2,58,0.089,0.0,44,0.0,10.5,2.2,0.0,5.9,300.0,56,3.125,6.9,9.0,0.0,56,0.0,0.0,0.7,44,0.2,45,0.6,997.6,30.8,84.5,0.0,0.689,2.7,3.994,16.373,4.0,0,0.0,9.3,10.4,0.5,5.6,21.6.2026,0.684,44,0.0,3,0.0,0,4.8,75.5,0.0,0.0,0.5,9.0,0.0,0.0,0.0,5.9,0.673,399.0,45,14.9,0.239,99.4,0.0,4.3,0,0.636,1197.1,36.0,0.0,0.0,1097.3,0.0,0,0.0,0.651,0.8,0.65,0.688,584,11.0,12.0,0.6,2.2,221.3,0.674,53.5,997.6,5.3,4.2
43,0.1,42.0,5966,21:19:21.377,0.0,0.0,0.0,4.236,1097.3,3.8,46.5,42,0.007,0.5,56,0.3,0.0,0.0,1558.7,0.5,43.8,7.0,0.0,12102,63.6,44,56,44,12.5,48,0.0,2624,44,4.994,127.7,0,0.0,12078,19.9,45,0.0,68.7,0.0,99.8,1795.6,0.0,55,0.708,0.1,48.4,0.9,56,0.0,0.032,9.4,0.0,0.4,7.3,19.9,1929,2.6,44,2.1,8617,41.6,3.4,45,11.0,0.0,49.3,0.1,0.0,14.0,57,0.0,11.9,0.1,19.0,0.1,0.0,1.5,0.6,0,0.0,0.0,42,1.8,3.189,1.292,0.0,52.8,1895.4,0.1,44,0.0,98.9,436,2.079,0.0,0.0,58,56,99.9,19.0,20.5,95.4,0.1,1.5,0.684,177.2,49,0.0,0.0,0.0,0.0,1396.6,2.0,27.0,7.7,0.0,45,48,0.0,0.0,5.1,58,0.14,0.0,44,0.0,9.7,2.2,0.0,5.2,350.0,58,3.125,5.6,14.0,0.5,56,0.0,0.0,1.0,44,0.2,45,0.5,1396.6,21.7,84.5,0.0,0.754,0.0,5.171,16.374,8.0,0,17.0,10.8,15.6,0.5,1.0,21.6.2026,0.682,44,0.0,3,0.0,0,4.2,75.5,0.0,0.0,0.1,18.0,0.0,0.0,1.5,5.2,0.702,798.0,45,12.2,0.915,99.8,0.0,0.0,0,0.626,1895.4,42.0,0.0,0.0,1097.3,0.0,0,0.0,0.703,0.7,0.662,0.752,584,11.0,19.0,0.6,2.2,268.7,0.67,57.8,1895.4,4.7,5.9
43,0.0,42.0,5965,21:19:22.392,4.0,0.0,0.0,4.236,1695.9,5.8,172.8,42,0.001,7.7,57,0.2,0.0,1.4,1733.3,35.3,43.8,3.3,0.0,12102,60.9,44,56,43,12.5,45,0.0,2625,44,4.515,43.7,0,0.2,12078,6.4,44,0.0,63.5,0.1,97.2,1695.9,0.0,56,0.683,0.2,53.9,12.5,56,0.2,0.121,140.3,0.0,0.1,7.3,15.4,1930,9.5,44,0.0,8616,41.6,3.4,45,17.0,2.9,46.3,0.0,0.0,17.0,57,0.0,4.7,6.8,17.0,0.4,0.0,0.6,69.3,0,0.0,0.0,44,0.8,2.792,1.285,0.0,75.4,1695.9,0.2,44,0.0,87.0,436,1.873,0.0,0.0,58,56,99.7,17.0,16.3,84.3,0.0,0.6,0.745,171.0,48,2.3,0.0,0.0,2.3,1795.6,9.6,18.4,17.6,15.4,44,48,0.0,0.4,2.0,58,0.099,0.0,44,0.0,11.7,3.5,0.0,5.7,350.0,56,2.5,5.9,18.0,0.2,56,0.0,0.0,0.3,44,0.1,45,2.3,1695.9,22.4,77.7,0.0,0.743,0.0,4.163,16.374,8.0,0,0.0,10.9,17.4,0.5,6.9,21.6.2026,0.73,44,0.0,3,0.0,0,15.2,75.5,0.0,0.0,0.6,17.0,0.0,0.0,0.1,5.7,0.714,798.0,45,12.5,0.89,99.3,0.0,0.0,0,0.626,1795.6,42.0,0.0,0.0,1795.6,0.0,0,0.0,0.684,0.6,0.684,0.69,584,18.0,18.0,0.6,3.5,262.0,0.753,59.2,1695.9,14.2,3.4
60,0.2,42.0,6815,21:19:23.403,7.4,0.0,0.0,4.236,1097.6,12.8,0.8,73,0.009,5.8,53,5.5,0.0,6.9,2332.4,163.8,43.8,41.4,0.0,12121,16.8,47,48,47,37.8,72,0.0,2626,44,5.14,1341.5,0,3.1,11133,10.0,48,7.1,40.4,0.1,90.8,4490.1,0.0,52,0.703,0.0,24.1,8.7,53,0.0,19.458,98.0,0.1,0.5,40.0,60.3,1080,0.1,47,0.2,9562,46.2,3.4,46,11.0,77.6,50.0,0.2,0.0,21.0,40,0.0,2.4,59.2,14.0,0.5,0.0,0.2,1934.0,0,0.0,0.4,45,5.7,3.285,1.327,0.0,380.0,2993.4,0.0,46,0.0,90.5,436,2.059,0.0,0.0,27,53,99.8,30.0,0.4,99.8,0.2,1.9,1.051,993.6,49,5.6,0.0,0.0,2.2,4390.3,60.3,9.3,9.4,9.4,73,47,0.0,3.0,50.3,58,0.147,0.0,47,0.0,8.7,15.2,0.0,16.7,300.0,55,19.375,2.2,44.0,3.1,53,0.0,0.0,1.3,44,0.3,45,0.7,2095.4,33.5,44.5,0.0,1.042,2.6,5.078,16.374,38.0,0,19.9,0.5,23.4,2.7,7.3,21.6.2026,1.056,52,0.0,3,0.0,0,0.0,86.3,0.0,0.1,0.6,45.0,0.0,0.0,0.0,16.7,0.964,3791.6,45,37.7,0.976,99.2,0.0,3.0,0,0.966,1097.6,36.0,0.0,0.2,1097.6,0.0,0,0.0,1.038,5.8,0.704,1.061,584,11.0,11.0,4.0,15.2,7.7,1.055,446.1,1396.9,1.6,43.2
60,0.2,42.0,6815,21:19:24.393,7.4,0.0,0.0,4.236,1097.6,12.8,0.8,73,0.001,5.8,53,5.5,0.0,6.9,2332.4,163.8,43.8,41.4,0.0,12121,16.8,47,48,47,37.8,72,0.0,2626,44,15.662,1341.5,0,3.1,11133,10.0,48,7.1,40.4,0.1,90.8,4490.1,0.0,52,0.703,0.0,24.1,8.7,53,0.0,19.458,98.0,0.1,0.0,40.0,60.3,1080,0.1,47,0.2,9562,46.2,3.4,57,11.0,77.6,50.0,0.2,0.0,21.0,40,0.0,2.4,59.2,14.0,0.5,0.0,0.2,1934.0,0,0.0,0.4,45,5.7,3.412,11.601,0.0,380.0,2993.4,0.0,57,0.0,90.5,436,4.473,0.0,0.0,27,53,99.8,30.0,0.4,99.8,0.2,0.1,1.051,993.6,49,5.6,0.0,0.0,2.2,4390.3,60.3,9.3,9.4,9.4,73,47,0.0,3.0,50.3,58,0.241,0.0,47,0.0,8.7,15.2,0.0,16.7,350.0,55,24.375,2.2,44.0,3.1,53,0.0,0.0,0.1,44,0.0,45,0.7,2095.4,33.5,44.5,0.0,1.042,2.6,20.106,16.371,38.0,0,19.9,0.5,23.4,2.7,7.3,21.6.2026,1.056,52,0.0,3,0.0,0,0.0,86.3,0.0,0.1,0.6,45.0,0.0,0.0,0.0,16.7,0.964,3791.6,45,37.7,0.976,99.2,0.0,3.0,0,0.966,1097.6,42.0,0.0,0.2,1097.6,0.0,0,0.0,1.038,5.8,0.704,1.061,584,11.0,11.0,4.0,15.2,7.7,1.055,446.1,1396.9,1.6,43.2
45,10.3,42.0,5657,21:19:25.409,38.8,0.0,22.3,4.236,1097.3,30.2,422.2,42,0.004,49.1,53,5.1,0.0,58.7,1384.1,1377.1,43.8,19.7,0.0,12143,25.8,47,54,47,29.5,47,0.0,2633,43,20.863,634.8,0,13.4,12065,0.0,45,0.0,11.4,28.6,2.8,1396.6,0.0,55,0.691,0.0,59.8,74.7,53,0.1,5.834,836.9,0.0,0.4,38.9,78.2,2237,21.2,47,0.0,8630,41.7,3.4,62,11.0,55.4,16.8,0.1,0.0,19.0,55,0.0,0.0,36.9,14.0,39.5,3.9,1.8,1374.2,0,0.0,8.6,45,6.9,4.077,15.956,0.0,612.4,1097.3,49.7,59,0.0,0.1,431,5.979,0.0,0.0,58,53,44.1,11.0,0.1,61.6,0.1,1.6,0.718,928.6,50,37.5,0.0,0.0,63.2,1995.1,37.5,0.6,40.4,78.2,47,48,0.0,45.8,38.6,58,0.432,0.0,47,2.9,28.8,28.8,0.0,30.6,300.0,55,24.375,0.0,20.0,0.0,53,0.0,0.0,1.1,43,0.3,46,562.4,1895.4,38.7,16.4,0.0,0.713,52.7,21.808,16.371,14.0,0,0.1,0.2,13.9,1.7,758.5,21.6.2026,0.711,46,0.0,3,12.6,0,37.3,71.6,0.0,0.1,67.5,14.0,0.0,0.0,0.0,30.6,0.71,1396.6,46,29.2,5.801,16.7,0.0,0.3,0,0.673,1097.3,36.0,0.0,15.7,1097.3,0.0,0,0.0,0.711,2.3,0.706,0.713,584,11.0,11.0,446.7,28.8,3.8,0.718,609.0,1396.6,33.4,26.9
43,0.0,42.0,5564,21:19:26.424,0.9,0.0,0.1,4.236,1097.3,15.1,22.1,44,0.006,31.1,55,0.1,0.0,1.7,1758.2,33.7,43.8,27.8,0.0,12143,17.3,45,56,45,33.1,45,0.0,2633,44,20.663,451.8,0,7.3,12062,0.0,41,0.1,33.8,10.4,73.3,2194.6,0.0,59,0.735,0.0,67.3,51.3,55,0.0,0.024,565.5,0.0,0.3,22.8,51.9,2331,1.2,45,0.0,8633,41.7,3.4,45,11.0,10.2,36.8,0.0,0.0,22.0,57,0.0,0.0,15.5,22.0,19.4,0.0,0.1,250.8,0,0.0,0.0,44,0.2,4.052,15.819,0.0,201.1,1097.3,17.1,45,0.0,46.9,431,6.011,0.0,0.0,56,55,82.3,11.0,0.3,97.9,0.0,1.1,0.785,544.6,50,2.3,0.0,0.0,32.3,2094.9,15.3,13.6,35.7,51.9,45,48,0.0,17.4,19.1,58,0.429,0.0,45,0.0,21.2,9.7,0.0,19.1,350.0,56,2.5,0.0,21.0,41.0,55,0.0,0.0,0.8,44,0.2,45,187.7,2194.6,43.8,31.2,0.0,0.719,22.7,16.152,16.371,16.0,0,0.0,0.3,17.6,0.4,352.2,21.6.2026,0.685,44,0.0,3,0.0,0,2.0,70.4,0.0,0.0,31.8,22.0,0.0,0.0,0.0,19.1,0.732,1596.1,45,33.1,0.198,67.1,0.0,0.0,0,0.691,1097.3,42.0,0.0,0.0,2094.9,0.0,0,0.0,0.735,0.5,0.73,0.725,584,21.0,11.0,0.4,9.7,3.9,0.741,182.6,2194.6,2.1,27.9
40,0.0,42.0,5469,21:19:27.440,3.8,0.0,0.4,4.236,1097.3,10.8,109.0,44,0.006,22.9,56,0.1,0.0,3.4,1446.5,82.8,43.8,5.2,0.0,12143,46.0,44,57,44,11.7,46,0.0,2650,44,6.636,83.1,0,1.7,12082,0.0,45,0.0,60.3,14.8,83.5,1496.3,0.0,55,0.668,0.6,48.4,37.4,56,0.2,0.142,412.3,0.0,0.4,7.0,38.2,2426,6.0,44,3.8,8613,41.6,3.5,45,11.0,6.1,37.3,0.0,0.0,16.0,60,0.0,0.6,10.5,15.0,15.9,0.0,2.2,147.0,0,0.0,0.0,42,2.3,3.42,2.612,0.0,130.3,1695.9,24.5,45,0.0,60.9,447,2.517,0.0,0.0,56,56,74.9,17.0,0.3,89.9,0.0,1.6,0.731,170.3,50,3.7,0.0,0.0,24.1,1396.6,10.2,37.2,18.3,38.2,45,48,0.0,22.6,3.5,58,0.196,0.0,44,0.0,14.7,6.7,0.0,11.2,300.0,58,5.625,4.5,14.0,0.0,56,0.0,0.0,1.1,44,0.3,45,268.8,1596.1,38.9,74.7,0.0,0.686,11.5,6.493,16.372,9.0,0,9.9,0.3,14.5,0.4,285.8,21.6.2026,0.686,43,0.0,3,0.3,0,9.9,69.2,0.0,0.0,25.8,15.0,0.0,0.0,6.9,11.2,0.69,897.8,45,11.7,17.367,72.8,0.0,0.0,0,0.631,1097.3,36.0,0.0,0.0,1695.9,0.0,0,0.0,0.668,0.4,0.673,0.731,584,17.0,11.0,0.5,6.7,3.3,0.673,104.2,1496.3,10.2,2.3
43,0.0,42.0,5468,21:19:28.435,0.0,0.0,0.0,4.236,1097.3,4.4,5.4,44,0.008,3.4,56,0.2,0.0,0.0,1284.4,1.0,43.8,6.9,0.0,12143,52.8,44,56,44,14.4,45,0.0,2651,44,5.345,100.4,0,0.7,12081,45.6,45,0.0,71.6,0.4,99.8,1396.6,0.0,55,0.661,0.2,29.5,5.3,56,0.0,0.15,60.4,0.0,0.3,8.6,45.6,2427,0.3,44,2.1,8613,41.6,3.5,45,11.0,12.2,48.9,0.0,0.0,15.0,57,0.0,6.0,20.7,14.0,2.1,0.0,0.9,302.8,0,0.0,1.0,44,1.2,3.075,1.754,0.0,60.7,1097.3,0.6,44,0.0,94.3,447,1.97,0.0,0.0,56,56,99.3,11.0,0.7,99.5,0.0,1.2,0.708,205.8,49,0.1,0.0,0.0,0.0,1296.8,19.6,45.0,2.3,4.6,45,47,0.0,1.3,4.0,58,0.158,0.0,44,0.0,7.5,2.6,0.0,8.5,300.0,56,2.5,7.2,13.0,7.8,56,0.0,0.0,0.8,44,0.2,45,6.8,1496.3,28.1,88.7,0.0,0.688,0.0,4.409,16.37,7.0,0,0.0,0.6,12.9,0.4,37.5,21.6.2026,0.687,44,0.0,3,0.0,0,0.4,69.2,0.0,0.0,3.4,14.0,0.0,0.0,5.9,8.5,0.684,698.3,45,15.1,1.084,96.4,0.0,0.4,0,0.661,1097.3,36.0,0.0,0.0,1396.6,0.0,0,0.0,0.668,0.4,0.671,0.687,584,14.0,11.0,0.5,2.6,7.3,0.703,66.3,1396.6,0.0,7.5
41,0.1,42.0,5471,21:19:29.446,2.1,0.0,0.0,4.236,1097.3,5.3,7.2,42,0.002,10.7,56,0.4,0.0,0.2,1097.3,3.1,43.8,5.3,0.0,12143,40.6,43,57,44,13.0,45,0.0,2652,43,4.273,88.9,0,0.0,12082,0.0,44,0.0,64.5,0.0,99.3,1097.3,0.0,56,0.653,0.2,32.5,17.2,57,0.2,0.435,192.9,0.0,0.2,7.6,24.7,2424,0.4,43,1.7,8613,41.6,3.5,45,11.0,15.5,47.5,0.0,0.0,12.0,59,0.0,3.1,24.6,11.0,0.9,0.0,0.9,384.9,0,0.0,0.0,42,1.4,2.758,1.068,0.0,73.3,1097.3,0.1,44,0.0,82.2,447,1.739,0.0,0.0,58,57,99.9,11.0,0.6,99.3,0.1,0.9,0.689,177.3,49,0.3,0.0,0.0,18.2,897.8,24.7,38.0,12.9,17.8,44,47,0.0,0.4,3.7,58,0.111,0.0,43,0.0,10.8,3.3,0.0,7.2,300.0,58,3.125,5.4,9.0,1.9,57,0.0,0.0,0.6,43,0.2,45,0.7,1197.1,41.2,80.0,0.0,0.691,0.0,4.741,16.369,4.0,0,0.0,0.6,11.0,0.5,16.2,21.6.2026,0.684,43,0.0,3,0.0,0,0.7,69.2,0.0,0.0,1.4,11.0,0.0,0.0,0.0,7.2,0.675,399.0,45,13.3,1.09,98.4,0.0,0.1,0,0.611,1097.3,36.0,0.0,0.0,1197.1,0.0,0,0.0,0.659,0.6,0.659,0.689,584,12.0,11.0,0.5,3.3,6.7,0.676,67.9,1097.3,2.5,5.6
68,0.0,41.0,5675,21:19:30.453,0.6,0.0,0.0,4.236,1097.3,11.5,0.5,61,0.006,7.1,52,14.5,0.0,0.1,2257.0,1.8,43.8,20.5,0.0,12203,13.0,47,48,48,51.2,73,0.0,2652,43,5.263,488.0,0,14.9,11755,25.0,49,1.3,42.7,2.6,99.7,4389.3,0.0,51,1.031,7.0,45.6,11.0,53,1.6,62.492,126.5,0.0,0.4,46.3,51.2,2220,0.0,47,0.0,8940,43.1,3.5,45,11.0,51.4,47.1,0.0,0.0,45.0,32,0.0,0.2,41.5,14.0,5.9,0.0,0.3,1307.8,0,0.0,0.0,46,14.9,3.264,1.466,0.0,271.0,1097.3,4.2,45,0.0,88.3,443,2.026,0.0,0.0,39,53,95.6,11.0,0.4,99.9,0.0,1.6,1.007,1166.8,49,0.2,0.0,0.0,9.9,1396.6,41.5,8.2,27.0,11.6,68,47,0.0,3.1,19.6,58,0.145,0.0,47,0.0,13.0,11.1,0.0,15.0,350.0,54,8.125,0.5,14.0,0.5,53,0.0,0.0,1.1,43,0.3,45,46.7,4489.0,31.6,50.0,0.0,0.997,0.0,5.619,16.368,39.0,0,0.0,0.4,22.6,0.5,107.0,21.6.2026,0.996,52,0.0,3,0.0,0,0.0,71.8,0.0,0.0,9.4,44.0,0.0,0.0,0.0,15.0,1.012,3890.5,45,50.6,0.907,90.2,0.0,1.1,0,0.988,1097.3,42.0,0.0,0.0,3092.4,0.0,0,0.0,1.011,0.9,1.021,0.996,584,31.0,11.0,0.5,11.1,5.0,1.039,312.5,1396.6,0.0,22.0
60,2.4,42.0,6463,21:19:31.457,19.9,0.0,0.0,4.236,1097.3,16.1,77.8,48,0.001,12.1,52,0.8,0.0,30.1,2157.2,770.6,43.8,33.9,0.0,12205,12.7,48,51,48,32.4,66,0.0,2653,43,10.687,1357.4,0,0.0,10951,36.3,46,3.1,35.8,4.8,71.7,1396.6,0.0,54,1.029,0.4,33.6,15.4,52,0.0,1.492,222.2,2.0,0.1,47.5,49.8,1432,4.2,49,0.0,9744,47.0,3.5,73,11.0,77.7,47.3,21.0,0.0,42.0,40,0.0,0.0,50.0,4.0,11.5,0.0,0.0,1999.9,0,0.0,6.2,46,0.9,3.293,6.82,0.0,565.5,2992.7,4.1,73,0.0,83.9,442,3.435,0.0,0.0,52,51,95.6,30.0,3.2,96.5,12.3,0.3,1.039,1210.1,49,19.1,0.0,0.0,16.7,1396.6,49.8,5.2,4.4,14.9,60,47,0.0,6.2,52.8,58,0.164,0.0,48,0.0,10.4,22.8,0.0,20.6,300.0,54,20.625,0.0,14.0,1.5,52,0.0,0.0,0.3,43,0.1,45,89.3,4189.8,38.1,53.5,0.0,0.994,7.3,13.524,16.368,39.0,0,30.4,4.7,21.6,86.0,210.3,21.6.2026,1.013,49,0.0,3,0.0,0,3.1,81.8,0.0,3.3,14.6,14.0,0.0,0.0,0.0,20.6,1.023,3890.5,45,32.9,0.064,84.9,0.0,8.5,0,0.981,2892.9,36.0,0.0,3.8,2892.9,0.0,0,0.0,1.049,542.1,0.984,1.014,584,29.0,29.0,98.9,22.8,121.6,1.057,648.6,399.0,5.4,33.6
45,0.1,42.0,6457,21:19:32.461,34.3,0.0,2.2,4.236,1097.3,24.9,213.0,46,0.004,42.1,52,7.7,0.0,54.9,2768.2,1407.8,43.8,30.6,0.0,12213,28.8,48,49,48,31.5,67,0.0,2658,43,20.778,1231.1,0,4.2,10949,0.0,67,0.3,24.4,14.0,34.6,4389.3,0.0,33,1.004,2319.6,36.5,68.4,52,6.0,8.982,764.8,0.0,0.5,45.0,69.2,1438,11.6,48,0.0,9746,47.0,3.5,63,11.0,75.8,32.1,0.1,0.0,45.0,55,0.0,0.0,45.2,44.0,29.2,0.0,2.9,1949.8,0,0.0,3.4,55,10.6,3.591,16.548,0.0,625.5,1097.3,22.0,63,0.0,27.4,442,5.487,0.0,0.0,54,52,77.4,11.0,0.1,80.5,0.0,1.6,1.032,1152.6,50,34.5,0.0,0.0,47.5,4489.0,44.8,6.8,35.9,69.2,67,47,0.0,22.3,48.0,60,0.245,0.0,48,7.1,16.5,26.8,0.0,25.2,300.0,45,15.0,0.0,45.0,0.0,52,0.0,0.0,1.2,43,0.3,45,251.2,4489.0,36.4,27.5,0.0,1.033,21.1,21.566,16.367,38.0,0,0.0,0.3,27.8,0.7,529.8,21.6.2026,1.031,51,0.0,3,0.3,0,18.9,81.7,0.0,0.0,47.1,44.0,0.0,0.0,0.0,25.2,1.033,3790.7,46,31.8,5.653,51.2,0.0,9.7,0,0.963,1097.3,36.0,0.0,0.1,1097.3,0.0,0,0.0,1.03,1.0,1.039,1.036,584,11.0,11.0,1.2,26.8,2.7,1.059,652.8,4389.3,18.6,30.3
