P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],GPU Core (NVVDD) Saida de Energia [W].1,E-core 7 C1 Ocupação [%],Potência das linhas GPU (avg) [W],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],GPU Core (NVVDD) Entrada de energia (sum) [W],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],SPD Hub Temperatura [°C],P-core 1 T0 C0 Ocupação [%],Uso de memória GPU [%],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Temperatura do disco [°C],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],Memória GPU alocada [MB],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],Carga do núcleo da GPU [%],P-core 1 Relógio [MHz],Temperatura de ponto quente da GPU [°C],P-core 0 Distância para TjMAX [°C],Tensões de linhas GPU (avg) [V],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Carga do barramento GPU [%],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],Utilização do arquivo de paginação [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],GPU Potência [W],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],GPU PCIe +3 3V Entrada de energia (est) [W],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],Memória GPU disponível [MB],Temperatura de junção da memória GPU [°C],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Page File Used [MB],Potência total do sistema [W],GPU Core Voltage [V],GPU 12VHPWR Potência [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],Utilização de D3D GPU [%].1,E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],Relógio de vídeo GPU [MHz],GPU Crossbar Relógio [MHz],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Potência do restante do chip [W],GPU FBVDD Tensão de entrada [V],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],GPU Clock [MHz].1,P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Fonte PP de entrada GPU Potência (sum) [W],Uso total da GPU [%],Temperatura do disco 2 [°C],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],GPU FBVDD Voltagemm de saída [V],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Uncore Relação [x],PCI Express Error Counters (avg) [],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],GPU 12VHPWR Voltagem [V],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],GPU Core (NVVDD) Saida de Energia [W],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Velocidade do link PCIe [GT/s],GPU FBVDD Saida de Energia [W],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Recovery Count [],Uncore VID [V],E-core 7 Relógio [MHz],Relógio de memória GPU [MHz].1,GPU FBVDD Entrada de energia [W],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],Temperatura GPU [°C],Memória dedicada D3D GPU [MB],Limite térmico da GPU [°C],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],Memória dinâmica D3D GPU [MB].1,E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
64,0.0,42.0,6272,18:4:6.838,31.1,0.0,0.0,5.693,1695.9,9.7,7.7,64,0.003,0.1,52,12.0,0.0,49.6,3391.7,1266.0,40.5,47.1,0.0,30.5,48,49,48,24.6,64,0.0,37,4.358,1913.4,0,0.0,9225,10.6,46,0.0,47.6,0.1,61.5,0.0,4289.5,0.0,54,19.841,1.064,0.0,0.0,0.1,52,0.0,0.0,53.936,1.5,0.0,0.5,32.2,45.8,1623,0.4,47,0.0,11982,56.4,7.3,64,17.0,0.0,50.5,0.0,0.0,45.0,36,0.0,0.6,0.0,44.0,0.9,0.0,0.0,0.8,0,0.0,7.0,46,12.0,2.766,1.135,369.8,1695.9,0.1,64,0.0,99.9,975,1.633,0.0,0.0,36,53,99.9,17.0,11.2,99.3,0.0,0.0,1.009,789.2,42,30.3,0.0,0.0,3.7,4489.0,0.9,88.4,33.0,1.0,64,45,1.6,0.0,72.9,0.124,0.0,48,0.0,9.9,14.2,42.0,9.9,0.0,54,24.375,1.4,45.0,0.0,52,0.0,1.1,37,0.3,45,2.1,4489.0,39.8,10.2,0.0,1.009,6.6,15.172,39.0,2,0.0,14.5,34.0,0.6,15.7,21.6.2026,1.004,51,0.0,0.0,595,0.7,79.4,0.0,0.0,1.3,43.0,0.0,0.0,9.9,1.033,3890.5,45,25.4,0.0,98.3,350.0,0.0,0,0.986,3092.4,0.0,0.0,0.0,2992.7,0.0,0,0.0,1.049,0.6,1.054,1.009,0,30.0,31.0,0.6,14.2,439.4,1.067,442.9,4389.3,1.6,45.8
54,2.9,42.0,6378,18:4:7.825,26.2,0.0,0.0,5.693,1097.3,13.7,47.2,63,0.005,4.1,53,1.6,0.0,44.1,3067.5,1145.6,40.5,30.0,0.0,20.3,47,49,47,31.0,63,0.0,37,14.958,1222.1,0,25.1,9129,46.8,59,5.8,39.5,4.4,64.4,0.0,4489.0,0.0,41,19.841,0.972,7.0,0.9,2.9,53,6.1,0.0,3.333,76.6,2.4,0.1,47.3,46.8,1517,2.6,47,0.0,12078,56.9,7.3,63,11.0,15.1,50.9,4.7,0.0,43.0,46,0.0,0.0,8.9,14.0,5.8,0.0,0.0,397.3,0,0.0,8.8,45,1.6,3.493,10.825,556.7,2992.7,3.0,63,0.0,96.9,975,4.329,0.0,0.0,37,53,96.7,30.0,46.5,97.8,3.5,0.0,0.972,1232.9,42,27.1,0.0,0.0,4.7,4289.5,9.2,42.6,27.5,3.3,63,45,0.4,0.5,49.3,0.23,0.0,47,4.4,8.9,22.1,42.0,15.5,0.0,55,20.625,0.0,43.0,0.0,53,0.0,0.3,37,0.1,45,80.6,4289.5,40.1,30.8,0.0,0.978,2.3,19.968,39.0,2,5.4,79.8,30.8,99.7,106.2,21.6.2026,0.972,51,0.0,0.0,595,2.0,80.7,0.0,3.8,4.3,45.0,0.0,0.0,15.5,0.993,3890.5,45,30.8,0.006,95.2,350.0,1.7,0,0.986,2992.7,0.0,0.0,4.6,2992.7,0.0,0,0.0,1.037,121.0,1.027,0.977,0,30.0,30.0,120.2,22.1,2031.0,1.006,655.7,1396.6,2.4,31.2
46,0.0,42.0,6378,18:4:8.833,37.1,0.0,0.0,5.693,1097.3,10.7,1.5,64,0.002,0.1,55,0.0,0.0,61.2,3154.8,1640.1,40.5,34.5,0.0,0.0,45,49,45,24.6,66,0.0,37,20.276,1481.5,0,0.8,9129,31.4,48,1.6,47.4,0.2,60.7,0.0,4289.5,0.0,52,19.841,1.052,0.5,0.0,0.1,55,0.2,0.0,0.064,1.7,0.0,0.5,35.0,37.1,1517,0.1,44,0.0,12077,56.9,7.3,68,11.0,0.0,50.4,0.0,0.0,44.0,54,0.0,0.0,0.0,45.0,0.6,0.0,0.3,0.8,0,0.0,0.0,69,0.3,3.216,16.509,447.4,1695.9,0.1,68,0.0,99.8,975,5.273,0.0,0.0,36,56,99.8,17.0,30.3,99.9,0.0,0.0,1.057,907.4,42,37.8,0.0,0.0,0.0,3092.4,0.8,66.4,0.1,0.9,69,45,1.7,4.1,55.3,0.165,0.0,45,0.0,9.0,17.1,42.0,14.0,0.0,31,26.25,0.0,31.0,7.0,55,0.0,1.3,37,0.3,45,3.1,4389.3,71.7,62.7,0.0,1.057,0.0,18.458,39.0,2,26.5,52.0,31.6,1.4,9.7,21.6.2026,1.052,51,0.0,0.0,595,0.1,80.7,0.0,0.1,0.5,43.0,0.0,0.0,14.0,1.055,3890.5,45,24.5,0.154,99.2,350.0,2.7,0,0.986,3092.4,0.0,0.0,0.1,3092.4,0.0,0,0.0,1.047,0.7,1.067,1.057,0,31.0,31.0,0.6,17.1,1320.2,1.049,536.6,4489.0,0.8,33.7
39,0.1,42.0,5405,18:4:9.835,25.9,0.0,0.0,5.693,1197.1,8.0,0.8,42,0.008,0.1,56,0.3,0.0,42.1,1109.8,1022.7,40.5,30.6,0.0,25.9,44,57,44,22.7,45,0.0,37,17.99,1024.1,0,0.0,10272,12.3,44,0.0,51.2,0.3,68.3,0.0,997.6,0.0,56,19.841,0.654,0.0,0.0,0.1,56,0.0,0.0,0.252,1.6,0.0,0.4,22.2,31.5,2490,0.1,43,1.5,10935,51.5,7.3,45,12.0,0.1,52.0,0.0,0.0,11.0,61,0.0,0.8,0.0,10.0,1.7,0.0,0.0,0.8,0,0.0,9.8,42,0.3,3.264,14.164,269.0,1197.1,0.5,44,0.0,99.8,975,4.786,0.0,0.0,58,57,99.4,12.0,14.0,99.9,0.0,0.0,0.691,545.9,42,24.7,0.0,0.0,2.1,897.8,0.0,81.9,26.0,0.0,44,45,1.4,0.0,43.2,0.156,0.0,44,6.0,9.0,11.0,36.0,7.9,0.0,58,1.875,4.1,9.0,0.0,56,0.0,1.0,37,0.2,45,5.5,1097.3,45.7,28.7,0.0,0.696,0.0,11.319,4.0,2,0.0,22.7,11.1,0.8,30.1,21.6.2026,0.692,43,0.0,0.0,595,0.1,68.4,0.0,0.0,2.3,10.0,0.0,0.0,7.9,0.672,399.0,45,23.4,0.0,97.2,300.0,3.6,0,0.611,1296.8,0.0,0.0,0.0,1197.1,0.0,0,0.0,0.649,0.5,0.657,0.691,0,12.0,13.0,0.6,11.0,595.1,0.648,322.6,997.6,0.0,31.5
41,0.0,42.0,5402,18:4:10.843,3.1,0.0,0.0,5.693,1097.3,3.3,0.4,41,0.008,0.1,57,0.0,0.0,1.4,1072.4,32.9,40.2,14.9,0.0,19.1,43,58,43,20.5,45,0.0,37,11.522,213.9,0,7.9,10275,0.0,43,0.0,70.7,0.1,96.6,0.0,997.6,0.0,57,19.841,0.655,0.4,0.0,0.1,57,0.2,0.0,0.0,1.5,0.0,0.5,10.7,20.5,2493,0.0,43,1.6,10932,51.5,7.3,45,11.0,0.0,49.7,0.0,0.0,10.0,59,0.0,2.2,0.0,10.0,0.7,0.0,0.0,0.5,0,0.0,0.0,42,0.0,3.074,7.922,44.4,1097.3,0.2,43,0.0,99.8,975,3.387,0.0,0.0,59,57,99.8,11.0,0.2,99.9,0.0,0.0,0.69,263.9,41,2.4,0.0,0.0,0.6,1097.3,0.8,99.6,12.7,0.9,43,45,1.9,0.9,8.8,0.163,0.0,43,0.0,8.6,1.8,36.0,4.9,0.0,58,1.875,10.7,11.0,0.8,57,0.0,1.3,37,0.3,45,1.4,997.6,56.1,67.5,0.0,0.695,0.0,4.725,5.0,2,7.9,0.2,10.8,0.4,13.1,21.6.2026,0.685,42,0.0,0.0,595,0.0,68.4,0.0,0.0,1.3,10.0,0.0,0.0,4.9,0.673,498.8,45,20.4,0.002,98.5,300.0,0.0,0,0.618,1197.1,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.653,0.4,0.655,0.69,0,11.0,12.0,0.5,1.8,4.4,0.662,53.1,997.6,0.8,15.2
38,0.1,41.0,5401,18:4:11.857,1.2,0.0,0.0,5.693,1097.3,3.0,0.4,42,0.006,0.1,57,0.0,0.0,1.1,1159.7,27.9,40.5,13.5,0.0,40.5,44,58,43,15.9,45,0.0,37,4.746,199.4,0,10.2,10276,0.0,43,0.0,77.7,0.1,97.0,0.0,1197.1,0.0,57,19.841,0.66,0.5,0.0,0.1,57,0.2,0.0,0.0,1.5,0.0,0.3,9.0,15.9,2494,0.0,44,5.5,10931,51.5,7.3,45,11.0,0.0,49.8,0.0,0.0,11.0,62,0.0,6.1,0.0,11.0,0.4,0.0,0.4,0.4,0,0.0,0.0,42,0.4,3.057,1.174,38.8,1197.1,0.2,44,0.0,99.8,975,1.764,0.0,0.0,58,56,99.8,12.0,0.9,99.9,0.0,0.0,0.696,216.4,41,2.3,0.0,0.0,0.0,1197.1,0.5,98.9,8.5,0.6,44,45,1.2,0.0,8.1,0.141,0.0,43,0.0,5.7,1.6,42.0,3.4,0.0,58,1.875,21.5,12.0,0.0,56,0.0,0.8,37,0.2,45,1.7,1097.3,36.7,74.4,0.0,0.696,0.0,4.215,6.0,2,0.0,0.4,11.6,0.4,7.1,21.6.2026,0.685,42,0.0,0.0,595,0.0,68.4,0.0,0.0,0.7,12.0,0.0,0.0,3.4,0.677,598.5,45,17.4,0.008,99.1,350.0,0.0,0,0.623,1197.1,0.0,0.0,0.0,1197.1,0.0,0,0.0,0.658,0.4,0.657,0.696,0,12.0,12.0,0.5,1.6,9.9,0.667,46.4,1097.3,0.0,12.4
40,0.0,42.0,5401,18:4:12.869,3.6,0.0,0.0,5.693,1197.1,3.4,1.0,41,0.004,0.1,57,1.1,0.0,1.6,1172.1,39.7,40.2,11.7,0.0,27.8,43,58,43,23.7,45,0.0,37,4.22,152.9,0,0.0,10273,0.5,43,4.4,72.9,0.3,96.0,0.0,1097.3,0.0,57,19.841,0.655,0.6,0.0,0.2,57,0.5,0.0,1.643,1.9,0.0,0.3,14.3,23.7,2494,0.1,43,4.2,10934,51.5,7.3,45,12.0,0.0,50.2,0.0,0.0,12.0,60,0.0,4.8,0.0,11.0,0.8,0.0,0.0,0.4,0,0.0,0.0,42,1.1,2.807,0.947,47.7,1296.8,0.5,43,0.0,99.8,975,1.63,0.0,0.0,59,57,99.4,13.0,0.1,99.9,0.0,0.0,0.699,355.0,41,3.2,0.0,0.0,1.8,1097.3,0.0,99.8,16.9,0.0,43,44,1.1,0.9,6.3,0.126,0.0,43,0.0,7.1,2.0,42.0,5.3,0.0,58,1.875,17.6,11.0,0.5,57,0.0,0.7,37,0.2,45,5.1,1197.1,39.9,67.9,0.0,0.704,0.0,4.549,5.0,2,19.1,0.0,11.8,0.5,14.2,21.6.2026,0.693,42,0.0,0.0,595,0.1,68.4,0.0,0.0,1.4,11.0,0.0,0.0,5.3,0.679,498.8,45,23.8,0.027,98.3,350.0,0.0,0,0.618,1296.8,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.655,0.4,0.659,0.704,0,11.0,13.0,0.4,2.0,0.9,0.662,56.9,1097.3,2.0,11.7
40,0.1,41.0,5399,18:4:13.881,3.6,0.0,1.8,5.693,1596.1,5.7,50.3,42,0.004,4.3,57,0.2,0.0,2.0,1471.4,46.4,40.2,15.1,0.0,14.4,43,58,43,21.0,45,0.0,37,4.51,215.5,0,0.0,10273,6.3,40,0.0,63.7,4.0,95.2,0.0,1496.3,0.0,60,19.841,0.669,0.6,6.6,6.5,57,0.4,0.0,0.012,74.4,0.1,0.5,11.7,21.0,2495,2.8,43,2.4,10933,51.5,7.3,45,16.0,0.0,45.9,0.8,0.0,14.0,60,0.0,0.9,0.0,15.0,5.3,0.0,0.0,0.5,0,0.0,0.0,42,0.2,2.964,1.07,76.5,1596.1,5.7,43,0.0,91.0,975,1.737,0.0,0.0,58,57,93.7,16.0,3.4,95.8,0.9,0.0,0.721,285.7,41,3.5,0.0,0.0,8.1,1496.3,0.0,89.0,24.8,8.1,43,44,1.7,5.8,8.9,0.128,0.0,43,0.0,12.2,3.6,42.0,6.1,0.0,58,1.25,7.3,15.0,1.7,57,0.0,1.2,37,0.3,45,69.8,1396.6,59.6,56.1,0.0,0.721,0.0,4.916,9.0,2,0.0,2.7,14.8,1.4,92.2,21.6.2026,0.721,42,0.0,4.8,595,3.9,68.3,0.0,0.1,7.9,15.0,0.0,0.0,6.1,0.697,897.8,45,21.4,0.076,86.4,350.0,0.0,0,0.633,1097.3,0.0,0.0,0.1,1596.1,0.0,0,0.0,0.674,18.5,0.669,0.721,0,16.0,11.0,2.1,3.6,61.0,0.681,79.3,1496.3,4.0,14.9
60,0.0,42.0,5564,18:4:14.892,30.4,0.0,0.0,5.693,2194.6,6.5,0.8,51,0.009,0.1,55,0.5,0.0,45.3,3030.1,1171.8,40.2,13.7,0.0,23.2,45,52,45,22.9,60,0.0,37,4.956,381.2,0,17.9,10096,8.4,45,0.0,65.7,0.4,68.7,0.0,4489.0,0.0,55,19.841,1.045,0.1,0.0,0.1,55,0.0,0.0,0.959,1.8,0.1,0.1,22.6,30.4,2330,0.1,45,3.3,11110,52.3,7.3,59,22.0,0.0,49.6,0.0,0.0,45.0,40,0.0,2.4,0.0,14.0,1.2,0.0,0.2,0.5,0,0.0,0.0,45,0.7,3.074,1.353,208.1,3092.4,0.5,59,0.0,99.8,975,1.839,0.0,0.0,49,55,99.4,31.0,8.4,99.9,0.0,0.0,1.02,576.4,41,30.3,0.0,0.0,4.9,2593.7,11.1,91.3,3.7,0.3,60,44,0.5,2.2,15.0,0.148,0.0,45,0.1,6.7,8.1,42.0,10.8,0.0,55,15.625,8.9,26.0,0.2,55,0.0,0.4,37,0.1,45,6.5,4489.0,49.6,79.6,0.0,1.02,0.0,8.404,39.0,2,17.9,12.9,30.4,0.7,21.7,21.6.2026,1.01,48,0.0,0.0,595,0.0,70.4,0.0,0.0,1.9,45.0,0.0,0.0,10.8,1.036,3890.5,45,23.3,0.005,97.8,350.0,0.0,0,0.986,2992.7,0.0,0.0,0.0,2992.7,0.0,0,0.0,1.055,0.7,1.05,1.03,0,30.0,30.0,0.5,8.1,335.0,1.058,249.5,1396.6,0.2,13.6
63,0.0,42.0,5564,18:4:15.891,28.9,0.0,0.0,5.693,2194.6,10.1,1.4,52,0.003,0.1,53,0.0,0.0,47.6,2281.9,1228.4,40.2,26.8,0.0,8.1,47,51,47,19.1,63,0.0,37,8.3,1121.4,0,0.0,10097,42.9,46,0.0,49.4,0.2,67.8,0.0,4489.0,0.0,54,19.841,1.037,0.0,0.0,0.1,53,0.0,0.0,0.0,1.5,0.0,0.5,26.1,42.9,2331,0.1,47,0.0,11110,52.3,7.3,60,22.0,0.0,50.3,0.0,0.0,45.0,37,0.0,0.0,0.0,14.0,1.2,0.0,0.2,1.0,0,0.0,4.9,45,0.2,3.075,4.682,409.3,1097.3,0.2,60,0.0,99.9,975,2.882,0.0,0.0,48,53,99.7,11.0,42.9,99.9,0.0,0.0,0.925,672.8,41,30.0,0.0,0.0,1.5,1396.6,0.0,56.6,0.1,0.0,63,44,1.7,0.0,43.5,0.171,0.0,47,0.0,8.7,15.9,36.0,9.9,0.0,55,16.25,0.0,14.0,0.0,53,0.0,1.3,37,0.3,45,2.9,4489.0,68.8,65.3,0.0,0.94,0.6,17.703,39.0,2,0.0,72.0,22.9,0.6,17.3,21.6.2026,0.907,49,0.0,0.0,595,0.1,70.4,0.0,0.0,1.3,45.0,0.0,0.0,9.9,0.983,3890.5,45,19.7,0.004,98.2,300.0,0.0,0,0.986,2094.9,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.047,0.5,1.032,0.912,0,11.0,21.0,0.5,15.9,1863.9,1.06,490.9,1396.6,0.0,26.6
44,0.0,42.0,5564,18:4:16.895,37.0,0.0,0.0,5.693,1097.3,10.0,0.7,53,0.007,0.1,53,0.0,0.0,58.9,2980.2,1531.1,40.2,24.8,0.0,4.1,47,51,47,20.1,62,0.0,37,17.527,1007.0,0,1.6,10098,36.7,46,2.9,48.2,0.2,61.5,0.0,4489.0,0.0,54,19.841,1.043,0.0,0.0,0.1,53,0.0,0.0,0.0,1.7,0.0,0.2,26.4,37.0,2331,0.1,47,0.0,11109,52.3,7.3,59,11.0,0.1,50.7,0.0,0.0,44.0,56,0.0,0.0,0.0,44.0,0.7,0.0,0.2,1.2,0,0.0,5.0,63,0.2,3.407,13.457,399.9,1895.4,0.2,59,0.0,99.8,975,4.772,0.0,0.0,47,53,99.7,19.0,36.5,99.9,0.0,0.0,1.028,679.1,41,36.1,0.0,0.0,0.8,1396.6,3.0,63.0,3.6,3.1,63,45,0.6,3.2,38.9,0.267,0.0,47,0.0,9.2,15.5,36.0,12.9,0.0,37,16.25,0.0,14.0,3.0,53,0.0,0.5,37,0.1,45,3.3,4389.3,69.2,64.1,0.0,1.028,1.1,15.856,39.0,2,18.8,60.3,29.9,0.8,14.5,21.6.2026,1.023,49,0.0,0.0,595,0.0,70.4,0.0,0.0,1.0,45.0,0.0,0.0,12.9,1.036,3890.5,45,20.7,0.001,98.7,300.0,0.0,0,0.981,3092.4,0.0,0.0,0.0,3092.4,0.0,0,0.0,1.043,0.8,1.043,1.023,0,31.0,31.0,0.8,15.5,1557.4,1.054,479.6,4389.3,3.0,24.5
44,0.0,42.0,5566,18:4:17.915,24.7,0.0,0.0,5.693,1097.0,10.3,1.1,47,0.003,0.1,55,0.0,0.0,39.9,2954.5,1033.8,40.2,36.8,0.0,3.4,45,52,45,26.4,60,0.0,37,15.957,1480.6,0,0.0,10100,30.8,60,0.0,45.4,0.2,71.9,0.0,4388.2,0.0,40,19.841,0.967,0.1,0.0,0.1,55,0.0,0.0,0.0,1.5,0.0,0.5,38.2,36.5,2329,0.1,45,0.0,11107,52.3,7.3,59,11.0,0.0,51.1,0.0,0.0,14.0,56,0.0,0.0,0.0,42.0,1.1,0.0,0.0,0.8,0,0.0,10.7,50,0.0,3.153,12.169,407.1,1894.9,0.1,59,0.0,99.9,975,4.604,0.0,0.0,53,55,99.8,19.0,32.3,99.9,0.0,0.0,1.017,972.3,40,25.3,0.0,0.0,0.0,4487.9,0.0,67.2,9.9,0.0,60,45,1.5,0.0,58.5,0.24,0.0,45,0.0,9.6,15.9,36.0,9.9,0.0,50,18.125,0.0,45.0,0.0,55,0.0,1.1,37,0.2,45,2.6,1396.2,65.5,39.2,0.0,1.015,1.2,17.107,39.0,2,0.0,53.2,29.6,0.6,17.3,21.6.2026,1.007,48,0.0,0.0,595,0.0,70.4,0.0,0.0,1.4,44.0,0.0,0.0,9.9,1.017,3889.5,45,27.4,0.0,98.3,300.0,0.0,0,0.986,3091.7,0.0,0.0,0.0,3091.7,0.0,0,0.0,1.056,0.5,0.997,1.012,0,31.0,31.0,0.6,15.9,1373.8,1.068,488.3,4188.7,0.0,36.5
46,0.0,42.0,5567,18:4:18.912,30.9,0.0,0.0,5.693,1097.3,10.2,1.6,67,0.007,0.1,56,0.0,0.0,49.4,3042.6,1273.5,40.2,36.8,0.0,57.3,44,52,44,19.4,67,0.0,37,17.108,1521.1,0,8.6,10099,33.9,45,5.0,56.0,0.2,65.9,0.0,4389.3,0.0,55,19.841,1.03,0.2,0.0,0.1,56,0.3,0.0,0.0,1.4,0.0,0.3,28.7,36.6,2328,0.1,44,0.0,11107,52.3,7.3,66,11.0,0.0,52.5,0.0,0.0,14.0,54,0.0,0.0,0.0,43.0,1.0,0.0,0.5,0.7,0,0.0,11.9,52,0.5,3.298,13.162,411.7,2992.7,0.1,66,0.0,99.9,975,4.682,0.0,0.0,33,56,99.8,30.0,33.7,99.9,0.0,0.0,1.036,721.0,41,30.7,0.0,0.0,1.5,4289.5,0.2,60.8,5.7,0.3,67,45,1.1,0.3,59.6,0.258,0.0,44,0.0,2.6,16.1,42.0,13.2,0.0,48,16.25,0.0,43.0,0.2,56,0.0,0.8,37,0.2,45,3.6,1396.6,13.2,40.2,0.0,1.036,2.0,16.266,38.0,2,26.3,53.9,30.5,1.0,18.3,21.6.2026,1.036,48,0.0,0.0,595,0.1,70.5,0.0,0.0,1.3,44.0,0.0,0.0,13.2,1.036,3790.7,45,19.6,0.024,98.3,350.0,5.0,0,0.966,2892.9,0.0,0.0,0.0,2992.7,0.0,0,0.0,1.03,0.6,1.04,1.036,0,30.0,29.0,0.5,16.1,1397.2,1.043,493.8,4289.5,0.2,36.6
